data,total_de_assinaturas_no_final_do_periodo,assinaturas_pagas_no_final_do_periodo,assinaturas_gratuitas,receita,custos_da_receita,custo_de_marketing,lucro,margem_de_lucro,custo_por_cliente_(excluindo_marketing),receita_por_cliente,lucro_por_cliente,segmento
31/12/2011,23529,21600,1929,505322,400935,112020,-7633,-0.0151052200379164,17.0400357006248,21.4765608398147,4.43652513918994,Streaming
31/03/2012,26475,24431,2044,550090,452187,134078,-36175,-0.0657619662237089,17.0797733711048,20.7777148253069,3.69794145420208,Streaming
30/06/2012,27562,25710,1852,597678,487116,116817,-6255,-0.0104655014907693,17.6734634641898,21.6848559611059,4.01139249691605,Streaming
30/09/2012,29412,27490,1922,633771,523503,111697,-1429,-0.00225475763327763,17.7989596083231,21.5480416156671,3.74908200734394,Streaming
31/12/2012,33267,30363,2904,690871,562168,114763,4480,0.00648456803079012,16.8986683500165,20.7674572399074,3.86878888989088,Streaming
31/03/2013,36316,34244,2072,780668,601530,124708,54430,0.0697223403546706,16.5637735433418,21.4965304548959,4.93275691155414,Streaming
30/06/2013,37554,35638,1916,836991,632358,119152,85481,0.102128935675533,16.8386323693881,22.2876657613037,5.44903339191564,Streaming
30/09/2013,40280,38009,2271,884134,678619,113330,92184,0.104264738150552,16.847542204568,21.9497020854022,5.10215988083416,Streaming
31/12/2013,44350,41434,2916,961672,711399,134233,116340,0.120976798742191,16.0405636978579,21.6836978579481,5.64313416009019,Streaming
31/03/2014,48357,46132,2225,1065735,762361,137098,166276,0.156020023739485,15.7652666625308,22.0388981946771,6.27363153214633,Streaming
30/06/2014,50045,47992,2053,1145686,812920,120763,212003,0.18504459337026,16.2437805974623,22.8931161954241,6.64933559796183,Streaming
30/09/2014,53062,50654,2408,1222835,857193,145654,219988,0.179899986506765,16.1545550488108,23.045399721081,6.89084467227018,Streaming
31/12/2014,57391,54476,2915,1305239,923404,203671,178164,0.136499139238101,16.0897004756843,22.7429213639769,6.65322088829259,Streaming
31/03/2015,62274,59619,2655,1399929,957807,194677,247445,0.17675539259491,15.380527989209,22.4801522304654,7.09962424125638,Streaming
30/06/2015,65551,62706,2845,1480676,1035657,197140,247879,0.167409345461127,15.7992555414868,22.5881527360376,6.78889719455081,Streaming
30/09/2015,69168,66019,3149,1580831,1096165,208102,276564,0.174948492280326,15.847863173722,22.8549473745084,7.00708420078649,Streaming
31/12/2015,74762,70839,3923,1672338,1177939,224173,270226,0.161585755989519,15.7558519033734,22.3688237339825,6.61297183060913,Streaming
31/03/2016,81500,77707,3793,1812989,1296445,208010,308534,0.170179741851716,15.9073006134969,22.245263803681,6.33796319018405,Streaming
30/06/2016,83177,79896,3281,1966472,1405268,216029,345175,0.175530086367871,16.8949108527598,23.6420164228092,6.74710557004941,Streaming
30/09/2016,86743,83278,3465,2157813,1469173,282043,406597,0.188430137365935,16.9370784962475,24.8759323518901,7.93885385564253,Streaming
31/12/2016,93796,89090,4706,2351128,1596273,284996,469859,0.199844074844075,17.0185615591283,25.0663994200179,8.04783786088959,Streaming
31/03/2017,98748,94363,4385,2516241,1596805,271270,648166,0.257592973010137,16.1705047190829,25.4814375987362,9.31093287965326,Streaming
30/06/2017,103952,99036,4916,2670727,1849574,274323,546830,0.20474949330276,17.7925773433893,25.6919251192858,7.89934777589657,Streaming
30/09/2017,109248,104023,5225,2874645,1945893,312490,616262,0.214378471080777,17.8117036467487,26.3130217486819,8.50131810193322,Streaming
31/12/2017,117582,110644,6938,3180603,2064869,419939,695795,0.218761976895576,17.5610977870763,27.0500841965607,9.48898640948444,Streaming
31/03/2018,118902,112809,6093,3602105,2258186,536777,807142,0.224075089426877,18.9919934063346,30.2947385241628,11.3027451178281,Streaming
30/06/2018,124354,118567,5787,3814366,2362507,592007,859852,0.225424618403163,18.9982388986281,30.6734483812342,11.6752094826061,Streaming
30/09/2018,130422,123745,6677,3910597,2494027,510330,906240,0.231739552809967,19.1227476959409,29.9841821165141,10.8614344205732,Streaming
31/12/2018,139259,130063,9196,4101684,2699721,730355,671608,0.163739576232591,19.3863305064664,29.4536367487918,10.0673062423255,Streaming
31/03/2019,148863,142297,6566,4440304,2836656,616578,987070,0.222297842670232,19.0554805425122,29.8281238454149,10.7726433029027,Streaming
30/06/2019,151562,145506,6056,4846916,2975310,603150,1268456,0.261703730784689,19.6309761021892,31.9797574589937,12.3487813568045,Streaming
30/09/2019,158334,152744,5590,5173028,3070126,553797,1549105,0.299458073685277,19.3901878307881,32.6716182247654,13.2814303939773,Streaming
31/12/2019,167090,162411,4679,5398982,3434914,878937,1085131,0.200988075159354,20.5572685379137,32.3118199772578,11.7545514393441,Streaming
31/03/2020,182856,174974,7882,5767691,3599701,503830,1664160,0.288531407109015,19.6859878811743,31.5422572953581,11.8562694141838,Streaming
30/06/2020,192947,187903,5044,6148286,3643707,434370,2070209,0.336713191286157,18.8844967789082,31.8651546797825,12.9806579008743,Streaming
30/09/2020,195151,194050,1101,6435637,3867751,527597,2040289,0.317029844908903,19.8192732806903,32.9777300654365,13.1584567847462,Streaming
31/12/2020,203663,199408,4255,6644442,4165160,762565,1716717,0.258368874316308,20.4512356196265,32.624688824185,12.1734532045585,Streaming
31/03/2021,207639,205652,1987,7163282,3868511,512512,2782259,0.388405621892311,18.6309460168851,34.4987309705787,15.8677849536937,Streaming
30/06/2021,209180,208410,770,7341777,4018008,603973,2719796,0.37045472778593,19.2083755617172,35.0978917678554,15.8895162061383,Streaming
30/09/2021,213563,211372,2191,7483467,4206589,635948,2640930,0.352901937029989,19.6971806914119,35.0410277061101,15.3438470146982,Streaming
31/12/2021,221844,217705,4139,7709318,5239575,792713,1677030,0.217532860883414,23.6182858224698,34.7510773336218,11.132791511152,Streaming
